역명,환승역,호선수,매개중심성,혼잡도,BI,군집
동대문역사문화공원,True,3,0.2724958491067279,48.280769230769224,5.822401889851779,3
신당,True,2,0.2649912001062628,48.25,5.656754904784972,3
잠실,True,2,0.1991029089460051,55.587179487179505,4.836235525186738,0
가락시장,True,2,0.18481258716875892,54.15641025641027,4.406487931351144,1
상왕십리,False,1,0.20563234708109188,48.153846153846146,4.3588172756140295,3
교대,True,2,0.16937562263399095,56.08333333333334,4.231569346314247,3
석촌,False,1,0.15917480241748017,58.54743589743593,4.215192551254839,1
왕십리,True,2,0.2197286976157268,42.719230769230776,4.212359028938232,3
건대입구,True,2,0.18298594507538013,50.611538461538466,4.071451613589991,1
송파,False,1,0.15321245932124583,58.34615384615383,4.06885509432124,1
종로3가,True,3,0.1928320714617786,44.95256410256412,3.8139392895810125,3
군자,True,2,0.15825832669190412,52.29871794871794,3.6746636593254656,1
동대문,True,2,0.15171265856412303,52.54487179487179,3.552928168537476,3
사당,True,2,0.1203385468552832,54.53461538461537,3.0369135221044523,1
서초,False,1,0.10474521817095038,56.158974358974355,2.8333888113228576,3
